Item,policy_cluster,inventory_model,SS,ROP,EOQ,s,S,production_level
500495,Dynamic,"(s,S)",3543.19,3705.71,1479.58,3705.71,5185.29,finished_products
500497,Dynamic,"(s,S)",595.19,625.58,639.84,625.58,1265.42,finished_products
500498,Dynamic,"(s,S)",546.66,572.87,594.09,572.87,1166.96,finished_products
500499,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500500,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500503,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500509,Dynamic,"(s,S)",3024.13,3167.74,1390.82,3167.74,4558.56,finished_products
500512,Dynamic,"(s,S)",2471.3,2597.47,1303.6,2597.47,3901.07,finished_products
500514,Dynamic,"(s,S)",3487.34,3647.16,1467.18,3647.16,5114.34,finished_products
500516,Dynamic,"(s,S)",771.08,810.21,725.98,810.21,1536.2,finished_products
500517,Dynamic,"(s,S)",1727.93,1807.47,1035.03,1807.47,2842.5,finished_products
500525,Dynamic,"(s,S)",1592.58,1675.13,1054.44,1675.13,2729.57,finished_products
500527,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500529,Dynamic,"(s,S)",3907.28,4134.31,1748.71,4134.31,5883.02,finished_products
500531,Dynamic,"(s,S)",4685.5,4989.6,2023.86,4989.6,7013.46,finished_products
500535,Dynamic,"(s,S)",7561.72,7949.63,2285.81,7949.63,10235.44,finished_products
500539,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500541,Dynamic,"(s,S)",3535.65,3697.67,1477.3,3697.67,5174.98,finished_products
500544,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500545,Dynamic,"(s,S)",8115.35,8626.82,2624.7,8626.82,11251.51,finished_products
500548,Dynamic,"(s,S)",10877.83,11689.1,3305.65,11689.1,14994.75,finished_products
500549,Dynamic,"(s,S)",4665.14,4891.02,1744.27,4891.02,6635.3,finished_products
500550,Dynamic,"(s,S)",687.49,720.76,669.4,720.76,1390.16,finished_products
500551,Dynamic,"(s,S)",3016.56,3161.97,1399.5,3161.97,4561.47,finished_products
500552,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500553,Dynamic,"(s,S)",466.91,488.32,537.08,488.32,1025.41,finished_products
500554,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500556,Dynamic,"(s,S)",3182.15,3347.76,1493.51,3347.76,4841.26,finished_products
500559,Comakership,EOQ-ROP,4465.45,8113.15,7009.42,8113.15,15122.58,finished_products
500560,Comakership,EOQ-ROP,5327.66,9112.7,7140.16,9112.7,16252.86,finished_products
500561,Dynamic,"(s,S)",9443.43,10306.45,3409.42,10306.45,13715.87,finished_products
500562,Dynamic,"(s,S)",22197.38,23876.18,4755.23,23876.18,28631.41,finished_products
500563,Dynamic,"(s,S)",2471.8,2585.11,1235.36,2585.11,3820.47,finished_products
500564,MTS,EOQ-ROP,2587.36,3612.99,3716.78,3612.99,7329.77,finished_products
500566,Dynamic,"(s,S)",7314.85,7998.96,3035.53,7998.96,11034.49,finished_products
500569,MTS,EOQ-ROP,1224.9,1720.73,2584.27,1720.73,4305.0,finished_products
500571,Dynamic,"(s,S)",8087.19,8769.08,3030.6,8769.08,11799.68,finished_products
500584,Dynamic,"(s,S)",9174.24,9780.03,2856.48,9780.03,12636.51,finished_products
500590,Dynamic,"(s,S)",223.93,234.2,371.86,234.2,606.06,finished_products
500591,Dynamic,"(s,S)",10391.51,11177.88,3254.51,11177.88,14432.39,finished_products
500592,Dynamic,"(s,S)",8336.02,8810.17,2527.15,8810.17,11337.32,finished_products
500593,Dynamic,"(s,S)",8320.64,9075.35,3188.32,9075.35,12263.67,finished_products
500595,Dynamic,"(s,S)",5201.68,5718.74,2639.02,5718.74,8357.75,finished_products
500596,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500599,Dynamic,"(s,S)",1253.0,1354.81,1170.99,1354.81,2525.79,finished_products
500600,Dynamic,"(s,S)",1745.85,1913.51,1502.74,1913.51,3416.25,finished_products
500602,Dynamic,"(s,S)",780.19,820.18,733.93,820.18,1554.11,finished_products
500603,Dynamic,"(s,S)",2485.83,2621.05,1349.56,2621.05,3970.61,finished_products
500604,MTS,EOQ-ROP,2188.76,2870.25,3029.72,2870.25,5899.97,finished_products
500605,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500607,Dynamic,"(s,S)",146.47,154.18,322.1,154.18,476.28,finished_products
500608,Dynamic,"(s,S)",5941.52,6413.84,2522.27,6413.84,8936.11,finished_products
500609,Dynamic,"(s,S)",2501.14,2616.42,1246.1,2616.42,3862.52,finished_products
500610,Dynamic,"(s,S)",4027.91,4244.03,1706.15,4244.03,5950.18,finished_products
500611,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500613,Dynamic,"(s,S)",5126.1,5432.93,2032.9,5432.93,7465.83,finished_products
500614,Dynamic,"(s,S)",1084.49,1135.62,829.87,1135.62,1965.5,finished_products
500615,Dynamic,"(s,S)",1652.88,1760.06,1201.49,1760.06,2961.55,finished_products
500616,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500617,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500619,Dynamic,"(s,S)",701.71,742.86,744.5,742.86,1487.36,finished_products
500621,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500622,Dynamic,"(s,S)",2596.71,2736.04,1369.9,2736.04,4105.94,finished_products
500623,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500624,Dynamic,"(s,S)",2389.76,2499.5,1215.78,2499.5,3715.27,finished_products
500625,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500626,Dynamic,"(s,S)",2154.61,2253.88,1156.33,2253.88,3410.22,finished_products
500627,Dynamic,"(s,S)",818.55,857.17,721.23,857.17,1578.4,finished_products
500628,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500629,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500630,Dynamic,"(s,S)",2125.32,2239.36,1239.36,2239.36,3478.72,finished_products
500631,Dynamic,"(s,S)",10404.15,11069.9,2994.52,11069.9,14064.41,finished_products
500632,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500633,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500634,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500635,Dynamic,"(s,S)",3400.02,3555.83,1448.7,3555.83,5004.54,finished_products
500636,MTO,,0.0,0.0,0.0,0.0,0.0,raw_material
500637,Dynamic,"(s,S)",4329.59,4551.36,1728.35,4551.36,6279.71,finished_products
500638,Dynamic,"(s,S)",6991.91,7312.33,2077.46,7312.33,9389.79,finished_products
500639,Dynamic,"(s,S)",6503.06,6801.51,2004.98,6801.51,8806.49,finished_products
